"title","url","yes_votes","no_votes","total_votes","voter_participation","voting_startdate","voting_enddate","project","eligible_voters","onchain"
"AGP-1:The Aragon Governance Proposal Process","https://github.com/aragon/AGPs/blob/master/AGPs/AGP-1.md",1040515.47716,359.81674,1040875.2939,3.50087301548863,"2018-11-15 00:00"," 2018-11-17 00:00","Aragon",39609523.8095238,"no"
"AGP-5: Aragon Flock proposal for Aragon One","https://github.com/aragon/AGPs/blob/master/AGPs/AGP-5.md",3014943.55519,89990.16863,3104933.72382,10.4431133607504,"2019-01-24 00:00","2019-01-26 00:00","Aragon",39609523.8095238,"no"
"AGP-10: Community Funding DAO","https://github.com/aragon/AGPs/blob/master/AGPs/AGP-10.md",985675.78116,317.62921,985993.41037,3.31628365476947,"2019-01-24 00:00","2019-01-26 00:00","Aragon",39609523.8095238,"no"
"AGP-11: Aragon Association 2019 budget","https://github.com/aragon/AGPs/blob/master/AGPs/AGP-11.md",2992257.41961,100,2992357.41961,10.0644749706359,"2019-01-24 00:00","2019-01-26 00:00","Aragon",39609523.8095238,"no"
"AGP-12: Aragon holiday","https://github.com/aragon/AGPs/blob/master/AGPs/AGP-12.md",1042827.58728,44618.99158,1087446.57886,3.65751056445207,"2019-01-24 00:00","2019-01-26 00:00","Aragon",39609523.8095238,"no"
"AGP-14: Improve Voting Logistics","https://github.com/aragon/AGPs/blob/master/AGPs/AGP-14.md",1207453.82155,0,1207453.82155,4.06114212344743,"2019-01-24 00:00","2019-01-26 00:00","Aragon",39609523.8095238,"no"
"AGP-17: Nest 2019 Budget","https://github.com/aragon/AGPs/blob/master/AGPs/AGP-17.md",3103702.52011,0,3103702.52011,10.4389723384106,"2019-01-24 00:00","2019-01-26 00:00","Aragon",39609523.8095238,"no"
"AGP-18: AN Security Partner Authio","https://github.com/aragon/AGPs/blob/master/AGPs/AGP-18.md",991638.38424,175875.97078,1167514.35502,3.92680998832297,"2019-01-24 00:00","2019-01-26 00:00","Aragon",39609523.8095238,"no"
"AGP-19: Autark Flock Funding","https://github.com/aragon/AGPs/blob/master/AGPs/AGP-19.md",921519.63722,796011.7867,1717531.42392,5.77673372640638,"2019-01-24 00:00","2019-01-26 00:00","Aragon",39609523.8095238,"no"
"AGP-16: Extend AGP Vote Duration","https://github.com/aragon/AGPs/blob/master/AGPs/AGP-16.md",720197.90069,907557.67848,1627755.57917,5.47478224944284,"2019-01-24 00:00","2019-01-26 00:00","Aragon",39609523.8095238,"no"
