"title","url","yes_votes","no_votes","total_votes","voter_participation","voting_startdate","voting_enddate","eligible_voters","project"
"Ditto Communications Proposal for Decred","https://proposals.decred.org/proposals/27f87171d98b7923a1bd2bee6affed929fa2d2a6e178b5c80a9971a92a5c7f50",13206,7985,21191,51.7383661311588,2018-10-28 20:04:24,2018-11-05 19:26:12,40958,"Decred"
"Trust Wallet - Integration with Decred","https://proposals.decred.org/proposals/2ababdea7da2b3d8312a773d477272135a883ed772ba99cdf31eddb5f261d571",6239,3075,9314,22.8289909066399,2019-03-26 21:41:53,2019-04-03 20:53:42,40799,"Decred"
"Premium Listing for Decred on Easyrabbit","https://proposals.decred.org/proposals/34707d34b09c3ebcf0d4aa604e8a08244e8f0f082c0af3f33d85778c93c81434",444,8312,8756,21.472362548433,2018-11-16 00:35:45,2018-11-23 23:20:42,40778,"Decred"
"Change language: PoS Mining to PoS Voting, Stakepool to Voting Service Provider","https://proposals.decred.org/proposals/522652954ea7998f3fca95b9c4ca8907820eb785877dcf7fba92307131818c75",11991,754,12745,31.1172420528346,2018-10-28 20:04:24,2018-11-05 19:26:12,40958,"Decred"
"RFP: Decred Decentralized Exchange Infrastructure","https://proposals.decred.org/proposals/5431da8ff4eda8cdbf8f4f2e08566ffa573464b97ef6d6bae78e749f27800d3a",14411,1256,15667,38.5839182366704,2019-03-04 16:24:06,2019-03-12 14:43:36,40605,"Decred"
"Decred Integration for IDAX Exchange","https://proposals.decred.org/proposals/60adb9c0946482492889e85e9bce05c309665b3438dd85cb1a837df31fbf57fb",2381,7255,9636,23.4264459193348,2019-02-26 17:34:08,2019-03-06 15:42:19,41133,"Decred"
"Decred Radio Advertising, 190+ FM and AM Stations, + Intl. Satellite","https://proposals.decred.org/proposals/7fe5d07a4ffff7dc6a83383018823d880b1c1db0a29305e74934817cf2b4e2ce",3090,6917,10007,24.4616099146887,2018-12-03 16:14:46,2018-12-11 14:02:46,40909,"Decred"
"Fiat Pairs integration on EXMO Exchange","https://proposals.decred.org/proposals/950e8149e594b01c010c1199233ab11e82c9da39174ba375d286dc72bb0a54d7",5608,3392,9000,21.631495457386,2019-04-19 05:43:46,2019-04-26 22:07:40,41606,"Decred"
"Proposed Statement Of Work (SOW) For Decred Blockchain Wallet Tutorial Campaign","https://proposals.decred.org/proposals/a3def199af812b796887f4eae22e11e45f112b50c2e17252c60ed190933ec14f",7821,1997,9818,23.3428435568236,2019-02-21 22:44:06,2019-03-01 17:41:11,42060,"Decred"
"Decred ATM Integration - Approval for Planning Phase","https://proposals.decred.org/proposals/aea224a561cfed183f514a9ac700d68ba8a6c71dfbee71208fb9bff5fffab51d",6696,6051,12747,31.620072929328,2019-03-25 22:23:56,2019-04-02 22:50:52,40313,"Decred"
"Decred integration into Crypto-ATMs","https://proposals.decred.org/proposals/bb7e19283d5c65fed598d5a2f4afcc2b5d2eab187b9cb84fc4304430f80b5ad1",1448,11388,12836,31.3769586154636,2018-12-03 16:14:46,2018-12-11 14:02:46,40909,"Decred"
"Wachsman Communications Proposal for Decred","https://proposals.decred.org/proposals/bc8776180b5ea8f5d19e7d08e9fcc35f0d1e3d16974963e3e5ded65139e7b092",3646,9556,13202,32.2330191903902,2018-10-28 20:04:24,2018-11-05 19:26:12,40958,"Decred"
"Decred Open Source Research","https://proposals.decred.org/proposals/c68bb790ba0843980bb9695de4628995e75e0d1f36c992951db49eca7b3b4bcd",11854,1287,13141,32.0840861370184,2018-10-28 20:04:24,2018-11-05 19:26:12,40958,"Decred"
"2019 Marketing Plan Funding","https://proposals.decred.org/proposals/c84a76685e4437a15760033725044a15ad832f68f9d123eb837337060a09f86e",12216,2571,14787,35.1502329561662,2019-02-22 00:10:54,2019-03-01 19:02:51,42068,"Decred"
"Decentralize Treasury Spending","https://proposals.decred.org/proposals/c96290a2478d0a1916284438ea2c59a1215fe768a87648d04d45f6b7ecb82c3f",8958,231,9189,22.5016529127997,2019-05-05 23:51:34,2019-05-13 22:04:16,40837,"Decred"
"Decred Bug Bounty Proposal","https://proposals.decred.org/proposals/d33a2667469b56942adf42453def6cc2292325251e4cf791e806939ea9efc9e1",11065,1186,12251,29.8600955445062,2018-12-19 22:30:17,2018-12-27 21:36:46,41028,"Decred"
"2019 Events Funding","https://proposals.decred.org/proposals/d3e7f159b9680c059a3d4b398de2c8f6627108f28b7d61a3f10397acb4b5e509",12571,1488,14059,33.4197014357707,2019-02-22 00:10:54,2019-03-01 19:02:51,42068,"Decred"
"Bring decred to Africa (Ghana) Adoption program for merchants and businesses","https://proposals.decred.org/proposals/dac06f18bfeb5f7667e56554774de3bb99151018ce16a64f5353bab45819763b",503,8833,9336,22.7662895044869,2019-04-04 19:11:52,2019-04-12 16:39:12,41008,"Decred"
"Decredex","https://proposals.decred.org/proposals/e78bc28631d0e682912e3ece25944481bf978b906ea44b1ed36470c0f48b27fc",456,11008,11464,28.0231733848297,2018-12-03 16:14:46,2018-12-11 14:02:46,40909,"Decred"
"Baeond: The Futurepunk Autonomous Card Game","https://proposals.decred.org/proposals/f545b359fcf1b40b356e9cb556cb422cc7ff01b628b577f804cdc45ce414f5dd",354,11459,11813,29.0202918488675,2019-01-15 14:57:51,2019-01-23 12:51:50,40706,"Decred"
"Decred Contractor Clearance Process","https://proposals.decred.org/proposals/fa38a3593d9a3f6cb2478a24c25114f5097c572f6dadf24c78bb521ed10992a4",12660,568,13228,32.3707909162099,2018-11-13 18:39:19,2018-11-21 14:20:16,40864,"Decred"
"Website for the Decred community","https://proposals.decred.org/proposals/fb8e6ca361c807168ea0bd6ddbfb7e05896b78f2576daf92f07315e6f8b5cd83",9912,3764,13676,33.0761603018357,2019-02-25 13:52:11,2019-03-05 13:33:36,41347,"Decred"
"Amendment to Decred Constitution - 001","https://proposals.decred.org/proposals/fd56bb79e0383f40fc2d92f4473634c59f1aa0abda7aabe29079216202c83114",12008,102,12110,29.6748266313803,2019-04-28 15:34:46,2019-05-06 12:37:14,40809,"Decred"
