title,url,total_votes,approval,voting_enddate
"Should EOS tokens sent to eosio.ramfee and eosio.names accounts in the future be allocated to REX?","https://eosauthority.com/polls_details?proposal=rex4all_20190112",28467526,99.1,"12 May 2019 01:00:00 AM"
"Delete Eos Core Arbitration Forum ?","https://eosauthority.com/polls_details?proposal=decaf_20190111",25166099,98.9,"11 May 2019 08:18:30 AM"
"Reduce the annual rate of inflation to 1%","https://eosauthority.com/polls_details?proposal=inflation_20190307",21934612,98.2,"01 Jun 2019 01:00:00 AM"
"Should EOS adopt the EOS User Agreement (EUA) in place of the interim Constitution?","https://eosauthority.com/polls_details?proposal=eosuseragree_20190207",20166501,99.2,"08 May 2019 17:32:00 PM"
"Should the EOS mainnet establish the EOS Commons Development Program as outlined in this referendum?","https://eosauthority.com/polls_details?proposal=wps_20190112",18397004,36.5,"16 Apr 2019 02:10:46 AM"
"POLL: Should Referendum Proposals Have A Small Cost In Order To Eliminate Spam Proposals?","https://eosauthority.com/polls_details?proposal=pollpropcost_20190115",17719799,99,"14 Jul 2019 06:08:21 AM"
"Update & Replace regproducer Ricardian Contract","https://eosauthority.com/polls_details?proposal=regproducer1_20190530",16161822,99.6,"01 Aug 2019 01:00:00 AM"
"Should EOS establish a voluntary, non-inflationary, commons fund for EOS core development through a bidding system built on top of eosio.token smart contract?","https://eosauthority.com/polls_details?proposal=tokenauction_20190417",16027491,99.3,"15 Aug 2019 12:03:13 PM"
"Voter enforced standby Block Producer rotation","https://eosauthority.com/polls_details?proposal=chainri4cvib_20190315",15832600,100,"13 Jul 2019 12:12:51 PM"
"EOS Upgrade to v1.8 is Sept 23 @ 13:00 UTC","https://eosauthority.com/polls_details?proposal=eosupgrade_20190709",15761927,100,"06 Nov 2019 09:16:36 AM"
"Retire current accumulated EOS tokens in the eosio.saving account","https://eosauthority.com/polls_details?proposal=retiresaving_20190504",13682505,99.9,"01 Aug 2019 01:00:00 AM"
"POLL: When Staking, Should Users be Able to (Optionally) Increase Their Future Unstaking Duration?","https://eosauthority.com/polls_details?proposal=unstaking_20190115",13000761,99.9,"14 Jul 2019 07:35:27 AM"
"CVIB Proposal: Hyperion History - Scalable History API Solution for EOSIO based blockchains","https://eosauthority.com/polls_details?proposal=hyperion.api_20190327",12918451,100,"23 Sep 2019 09:31:18 AM"
"Let's get the exchange to develop a voting tool.","https://eosauthority.com/polls_details?proposal=kiliman_20190111",12254970,99.2,"12 May 2019 04:11:11 AM"
"Spread out WPS tokens evenly to everyone.","https://eosauthority.com/polls_details?proposal=fundeveryone_20190111",11811793,2.5,"11 May 2019 12:36:24 PM"
"Should the voting weight be changed to 1 Token 1 Vote","https://eosauthority.com/polls_details?proposal=1token1vote_20190111",11735484,98.1,"01 Feb 2019 00:00:00 AM"
"Should EOS adopt the EOS Community Constitution (ECC) in place of the interim Constitution?","https://eosauthority.com/polls_details?proposal=ecc_20190226",10627176,3.5,"26 Jul 2019 06:45:23 AM"
"Remove vote decay for proxy if proxy votes regularly","https://eosauthority.com/polls_details?proposal=proxydecay_20190111",10050045,59.3,"10 Feb 2019 12:07:18 PM"
"Protocol-level block producer rotation","https://eosauthority.com/polls_details?proposal=lb.bprotate_20190318",9550928,100,"15 Jul 2019 01:00:00 AM"
"Eosio.saving (WPS) account long term management proposal / Eosio.saving (WPS) 帐户 Long term management proposal / Eosio.saving (WPS) long term management proposal","https://eosauthority.com/polls_details?proposal=managewps_20190510",9128206,8.5,"10 Aug 2019 19:00:00 PM"
"BP Enforced Minimum Requirements","https://eosauthority.com/polls_details?proposal=bpminrequire_20190112",8837072,97.9,"12 May 2019 08:57:22 AM"
"POLL: New eosio.token system contract to hold BTC and create EOS based BTC token on mainnet","https://eosauthority.com/polls_details?proposal=maxdappwhale_20190609",7879025,100,"07 Oct 2019 04:35:58 AM"
"REX Voting Approval Needed ASAP. Most of the Community Wants REX So Lets Vote For it & Lets Make it Happen guys & girls :)","https://eosauthority.com/polls_details?proposal=rexrexrexrex_20190113",7308250,100,"13 May 2019 06:29:30 AM"
"Let's create a credible agency or site that can tell you how much BP is working!!!","https://eosauthority.com/polls_details?proposal=kilimanjalo_20190112",6809131,85.8,"12 May 2019 11:15:30 AM"
"Inverse Weighted Voting","https://eosauthority.com/polls_details?proposal=inversevote_20190111",6304705,8.6,"12 Jan 2019 13:43:45 PM"
"Deploying REX with system funds, including inflation (excluding BP rewards)","https://eosauthority.com/polls_details?proposal=rexwithinfla_20190111",6174094,45.9,"11 Feb 2019 17:57:30 PM"
"Reduce the number of BPs to 10 and paid SP to 5","https://eosauthority.com/polls_details?proposal=geteos_20190111",5937418,0.4,"28 Feb 2019 00:00:00 AM"
"Should we burn accumulated un-used inflation (4%) in eosio.saving?","https://eosauthority.com/polls_details?proposal=burnsaving_20190111",5204901,99.3," 10 Feb 2019 11:24:07 AM"
"Add a comment box to every proposal so every user can voice their opinion on what is being proposed","https://eosauthority.com/polls_details?proposal=addcommentbx_20190112",3434610,99.8,"12 May 2019 13:52:33 PM"
"Reward Vote","https://eosauthority.com/polls_details?proposal=rewardvote_20190112",3267132,38,"12 May 2019 10:17:07 AM"
"should we reduce number of BP to 10 and stand by to 5","https://eosauthority.com/polls_details?proposal=helloeos_20190111",3249619,0,"11 Jan 2019 19:50:58 PM"
"Disable BlockOne's Voting Power","https://eosauthority.com/polls_details?proposal=nerfblockone_20190114",3058453,0.1,"19 Mar 2019 22:30:47 PM"
"Reduce the annual rate of inflation to 1%","https://eosauthority.com/polls_details?proposal=eosinflation_20190307",2933445,2.9,"07 Mar 2019 14:26:01 PM"
"Should referendum proposals have a small EOS cost in order to eliminate spam proposals?","https://eosauthority.com/polls_details?proposal=proposalcost_20190112",2850401,99.6,"15 Jan 2019 23:40:03 PM"
"EOS to fund a true identity project","https://eosauthority.com/polls_details?proposal=trueidentity_20190113",2300059,97.5,"15 May 2019 10:11:42 AM"
